region;estado geografico;capital estado geografico;municipio;parroquia;estado operativo;distrito;area;central;nombre central;id_averia;tipo_reporte;dac;telefono;fecha_reporte;persona_reporta;contacto;fecha_compromiso;fecha_cita;ultimo_usuario;ultimo_comentario;results;asignado_a;cuadrilla;fecha_despacho;ciudad;estatus;problema_reporte;servicio_off_on;cliente_notificado;informacion;informacion;nombre;direccion;fecha_instalacion;olt;ip;tarjeta;plan;slot;puerto;ont_id;fat;serial;cvlan;extra;area_trabajo;dias transcurrido desde la apertura;area_resolutoria;tipo_servicio;tipo_problema;descripcion;usuario_acciona;fecha_acciona;dias transcurrido en area resolutoria;codigo_causa;descripcion;Subcodigo_causa;descripcion;con_serv_aba;unidad_negocio;ups;codigos_gestionados_en_VENAPP;codigos_sin_gestion_en_VENAPP;Reparador Principal;Ayudante 1;Ayudante 2;Ayudante 3;Ayudante 4;Ayudante 5;Ayudante 6;Ayudante 7;Ayudante 8;Ayudante 9;Flota (CAN);Nombre;Apellido;Telefono Oficina;Telefono Movil;Fecha Hora Asignacion
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001010;DATO12-0010;999;7000000110;01/09/2026 10:13:07 a.m.;ABONADO0010;4000000110;04/09/2026 10:13:08 a.m.;;OPERADOR0010;SIN NOVEDAD FICTICIA;;999999;;11/09/2026 03:37:00 p.m.;;ASGN;;DATO29-0010;9;SIN NOVEDAD FICTICIA;;ABONADO0010;CALLE FICTICIA 0010 RESIDENCIA DEMO;;DATO36-0010;DATO37-0010;DATO38-0010;DATO39-0010;99;99;99;DATO43-0010;DATO44-0010;9999;DATO46-0010;DATO47-0010;99;DATO49-0010;DATO50-0010;DATO51-0010;DATO52-0010;OPERADOR0010;11/09/2026 03:37:56 p.m.;9;;;;;DATO60-0010;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001011;DATO12-0011;999;7000000111;01/09/2026 10:55:09 a.m.;ABONADO0011;4000000111;04/09/2026 10:55:09 a.m.;;OPERADOR0011;SIN NOVEDAD FICTICIA;;;;07/09/2026 10:32:41 a.m.;DATO26-0011;PEND;SIN NOVEDAD FICTICIA;DATO29-0011;9;;;ABONADO0011;CALLE FICTICIA 0011 RESIDENCIA DEMO;25/08/2026;DATO36-0011;DATO37-0011;DATO38-0011;DATO39-0011;99;9;99;DATO43-0011;DATO44-0011;999;DATO46-0011;DATO47-0011;99;DATO49-0011;DATO50-0011;DATO51-0011;DATO52-0011;OPERADOR0011;10/09/2026 03:11:32 a.m.;9;;;;;DATO60-0011;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10202;AREA 5;2319X;LAS MERCEDES CPA    ;90001012;DATO12-0012;999;7000000112;01/09/2026 01:21:01 p.m.;ABONADO0012;4000000112;04/09/2026 01:21:01 p.m.;;OPERADOR0012;REPORTE FICTICIO: LOS ROJO;;;;03/09/2026 08:49:38 a.m.;DATO26-0012;PEND;SIN NOVEDAD FICTICIA;DATO29-0012;9;;;ABONADO0012;CALLE FICTICIA 0012 RESIDENCIA DEMO;;DATO36-0012;DATO37-0012;DATO38-0012;DATO39-0012;9;9;99;DATO43-0012;DATO44-0012;999;DATO46-0012;DATO47-0012;99;DATO49-0012;DATO50-0012;DATO51-0012;DATO52-0012;OPERADOR0012;11/09/2026 08:08:04 a.m.;9;;;;;DATO60-0012;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001013;DATO12-0013;999;7000000113;01/09/2026 02:23:47 p.m.;ABONADO0013;4000000113;04/09/2026 02:23:47 p.m.;;OPERADOR0013;SIN NOVEDAD FICTICIA;;;;05/09/2026 11:37:21 a.m.;DATO26-0013;PEND;SIN NOVEDAD FICTICIA;DATO29-0013;9;SIN NOVEDAD FICTICIA;;ABONADO0013;CALLE FICTICIA 0013 RESIDENCIA DEMO;;DATO36-0013;DATO37-0013;DATO38-0013;DATO39-0013;99;99;99;DATO43-0013;DATO44-0013;9999;DATO46-0013;DATO47-0013;99;DATO49-0013;DATO50-0013;DATO51-0013;DATO52-0013;OPERADOR0013;11/09/2026 02:10:09 p.m.;9;;;;;DATO60-0013;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001014;DATO12-0014;999;7000000114;01/09/2026 10:18:15 p.m.;ABONADO0014;4000000114;04/09/2026 10:18:15 p.m.;;OPERADOR0014;REPORTE FICTICIO: FALLA DE FIBRA;;;;02/09/2026 09:17:34 a.m.;;PEND;;DATO29-0014;9;;;ABONADO0014;CALLE FICTICIA 0014 RESIDENCIA DEMO;;DATO36-0014;DATO37-0014;DATO38-0014;DATO39-0014;9;9;9;DATO43-0014;DATO44-0014;999;DATO46-0014;DATO47-0014;99;DATO49-0014;DATO50-0014;DATO51-0014;DATO52-0014;OPERADOR0014;02/09/2026 10:18:50 a.m.;9;;;;;DATO60-0014;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001015;DATO12-0015;999;7000000115;02/09/2026 01:41:56 p.m.;ABONADO0015;4000000115;05/09/2026 01:41:56 p.m.;;OPERADOR0015;SIN NOVEDAD FICTICIA;;;;07/09/2026 08:10:01 a.m.;DATO26-0015;PEND;SIN NOVEDAD FICTICIA;DATO29-0015;9;SIN NOVEDAD FICTICIA;;ABONADO0015;CALLE FICTICIA 0015 RESIDENCIA DEMO;;DATO36-0015;DATO37-0015;DATO38-0015;DATO39-0015;99;99;;DATO43-0015;DATO44-0015;;DATO46-0015;DATO47-0015;9;DATO49-0015;DATO50-0015;DATO51-0015;;OPERADOR0015;07/09/2026 10:27:29 a.m.;9;;;;;DATO60-0015;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001016;DATO12-0016;999;7000000116;02/09/2026 02:47:05 p.m.;ABONADO0016;4000000116;05/09/2026 02:47:05 p.m.;;OPERADOR0016;SIN NOVEDAD FICTICIA;;;;11/09/2026 08:51:00 a.m.;DATO26-0016;PEND;SIN NOVEDAD FICTICIA;DATO29-0016;9;SIN NOVEDAD FICTICIA;;ABONADO0016;CALLE FICTICIA 0016 RESIDENCIA DEMO;;DATO36-0016;DATO37-0016;DATO38-0016;DATO39-0016;9;99;99;;DATO44-0016;9999;DATO46-0016;DATO47-0016;9;DATO49-0016;DATO50-0016;DATO51-0016;DATO52-0016;OPERADOR0016;11/09/2026 09:20:25 a.m.;9;;;;;DATO60-0016;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001017;DATO12-0017;999;7000000117;02/09/2026 06:33:46 p.m.;ABONADO0017;4000000117;05/09/2026 06:33:46 p.m.;;OPERADOR0017;SIN NOVEDAD FICTICIA;;;;03/09/2026 08:30:03 a.m.;DATO26-0017;PEND;SIN NOVEDAD FICTICIA;DATO29-0017;9;;;ABONADO0017;CALLE FICTICIA 0017 RESIDENCIA DEMO;18/08/2026;DATO36-0017;DATO37-0017;DATO38-0017;DATO39-0017;9;9;9;DATO43-0017;DATO44-0017;999;DATO46-0017;DATO47-0017;9;DATO49-0017;DATO50-0017;DATO51-0017;DATO52-0017;OPERADOR0017;03/09/2026 09:22:44 a.m.;9;;;;;DATO60-0017;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001018;DATO12-0018;999;7000000118;03/09/2026 10:50:28 a.m.;ABONADO0018;4000000118;06/09/2026 10:50:28 a.m.;;OPERADOR0018;SIN NOVEDAD FICTICIA;;;;04/09/2026 03:12:34 p.m.;DATO26-0018;PEND;SIN NOVEDAD FICTICIA;DATO29-0018;9;;;;;;DATO36-0018;DATO37-0018;DATO38-0018;DATO39-0018;99;99;99;DATO43-0018;DATO44-0018;9999;DATO46-0018;DATO47-0018;9;DATO49-0018;DATO50-0018;DATO51-0018;DATO52-0018;OPERADOR0018;05/09/2026 02:01:39 p.m.;9;;;;;;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001019;DATO12-0019;999;7000000119;03/09/2026 11:54:11 a.m.;ABONADO0019;4000000119;06/09/2026 11:54:11 a.m.;;OPERADOR0019;REPORTE FICTICIO: LOS ROJO;;999999;;11/09/2026 11:20:24 a.m.;DATO26-0019;ASGN;SIN NOVEDAD FICTICIA;DATO29-0019;9;SIN NOVEDAD FICTICIA;;ABONADO0019;CALLE FICTICIA 0019 RESIDENCIA DEMO;;DATO36-0019;DATO37-0019;DATO38-0019;DATO39-0019;99;99;99;DATO43-0019;DATO44-0019;9999;DATO46-0019;DATO47-0019;9;DATO49-0019;DATO50-0019;DATO51-0019;DATO52-0019;OPERADOR0019;11/09/2026 01:27:22 p.m.;9;;;;;DATO60-0019;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001020;DATO12-0020;999;7000000120;04/09/2026 09:57:48 a.m.;ABONADO0020;4000000120;07/09/2026 09:57:48 a.m.;;OPERADOR0020;REPORTE FICTICIO: LOS ROJO / FALLA DE FIBRA;;;;04/09/2026 11:02:23 a.m.;DATO26-0020;PEND;SIN NOVEDAD FICTICIA;DATO29-0020;9;;;ABONADO0020;CALLE FICTICIA 0020 RESIDENCIA DEMO;;DATO36-0020;DATO37-0020;DATO38-0020;DATO39-0020;99;99;99;DATO43-0020;DATO44-0020;9999;DATO46-0020;DATO47-0020;9;DATO49-0020;DATO50-0020;DATO51-0020;DATO52-0020;OPERADOR0020;04/09/2026 11:02:37 a.m.;9;;;;;DATO60-0020;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001021;DATO12-0021;999;7000000121;04/09/2026 10:19:29 a.m.;ABONADO0021;4000000121;07/09/2026 10:19:29 a.m.;;OPERADOR0021;SIN NOVEDAD FICTICIA;;;;04/09/2026 11:49:13 a.m.;DATO26-0021;PEND;SIN NOVEDAD FICTICIA;DATO29-0021;9;;;ABONADO0021;CALLE FICTICIA 0021 RESIDENCIA DEMO;;DATO36-0021;DATO37-0021;DATO38-0021;DATO39-0021;99;9;99;DATO43-0021;DATO44-0021;9999;DATO46-0021;DATO47-0021;9;DATO49-0021;DATO50-0021;DATO51-0021;DATO52-0021;OPERADOR0021;04/09/2026 04:45:54 p.m.;9;;;;;DATO60-0021;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001022;DATO12-0022;999;7000000122;04/09/2026 10:23:10 a.m.;ABONADO0022;4000000122;07/09/2026 10:23:10 a.m.;;OPERADOR0022;SIN NOVEDAD FICTICIA;;;;04/09/2026 11:49:13 a.m.;DATO26-0022;PEND;SIN NOVEDAD FICTICIA;DATO29-0022;9;SIN NOVEDAD FICTICIA;;ABONADO0022;CALLE FICTICIA 0022 RESIDENCIA DEMO;;DATO36-0022;DATO37-0022;DATO38-0022;DATO39-0022;99;99;99;DATO43-0022;DATO44-0022;9999;DATO46-0022;DATO47-0022;9;DATO49-0022;DATO50-0022;DATO51-0022;DATO52-0022;OPERADOR0022;07/09/2026 10:25:51 a.m.;9;;;;;DATO60-0022;CANTV RESIDENCIAL;RES;;DATO64-0022;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001023;DATO12-0023;999;7000000123;04/09/2026 11:52:39 a.m.;ABONADO0023;4000000123;07/09/2026 11:52:39 a.m.;;OPERADOR0023;SIN NOVEDAD FICTICIA;;;;04/09/2026 12:43:24 p.m.;;PEND;;DATO29-0023;9;;;ABONADO0023;CALLE FICTICIA 0023 RESIDENCIA DEMO;;DATO36-0023;DATO37-0023;DATO38-0023;DATO39-0023;9;9;9;DATO43-0023;DATO44-0023;9999;DATO46-0023;DATO47-0023;9;DATO49-0023;DATO50-0023;DATO51-0023;DATO52-0023;OPERADOR0023;04/09/2026 12:44:46 p.m.;9;;;;;DATO60-0023;CANTV RESIDENCIAL;RES;;DATO64-0023;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001024;DATO12-0024;999;7000000124;04/09/2026 12:13:49 p.m.;ABONADO0024;4000000124;07/09/2026 12:13:49 p.m.;;OPERADOR0024;REPORTE FICTICIO: FALLA DE FIBRA;;;;04/09/2026 12:38:19 p.m.;;PEND;;DATO29-0024;9;;;ABONADO0024;CALLE FICTICIA 0024 RESIDENCIA DEMO;;DATO36-0024;DATO37-0024;DATO38-0024;DATO39-0024;9;9;99;DATO43-0024;DATO44-0024;999;DATO46-0024;DATO47-0024;9;DATO49-0024;DATO50-0024;DATO51-0024;DATO52-0024;OPERADOR0024;04/09/2026 12:38:55 p.m.;9;;;;;DATO60-0024;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001025;DATO12-0025;999;7000000125;06/09/2026 03:04:23 p.m.;ABONADO0025;4000000125;09/09/2026 03:04:24 p.m.;;OPERADOR0025;SIN NOVEDAD FICTICIA;;;;08/09/2026 10:29:04 a.m.;;PEND;;DATO29-0025;9;;;ABONADO0025;CALLE FICTICIA 0025 RESIDENCIA DEMO;;DATO36-0025;DATO37-0025;DATO38-0025;DATO39-0025;9;99;9;DATO43-0025;DATO44-0025;9999;DATO46-0025;DATO47-0025;9;DATO49-0025;DATO50-0025;DATO51-0025;DATO52-0025;OPERADOR0025;08/09/2026 10:30:48 a.m.;9;;;;;DATO60-0025;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001026;DATO12-0026;999;7000000126;06/09/2026 08:35:37 p.m.;ABONADO0026;4000000126;09/09/2026 08:35:38 p.m.;;OPERADOR0026;SIN NOVEDAD FICTICIA;;;;07/09/2026 08:27:44 a.m.;;PEND;;DATO29-0026;9;;;ABONADO0026;CALLE FICTICIA 0026 RESIDENCIA DEMO;;DATO36-0026;DATO37-0026;DATO38-0026;DATO39-0026;9;9;9;DATO43-0026;DATO44-0026;9999;DATO46-0026;DATO47-0026;9;DATO49-0026;DATO50-0026;DATO51-0026;DATO52-0026;OPERADOR0026;08/09/2026 12:45:47 a.m.;9;;;;;DATO60-0026;CANTV RESIDENCIAL;RES;;;;;;;;;;;;;;;;;;
CAPITAL;BOLIVARIANO MIRANDA;LOS TEQUES;BARUTA;BARUTA;MIRANDA-2;10204;AREA 4;2324X;FRANCISCO SALIAS    ;90001027;DATO12-0027;999;7000000127;07/09/2026 10:11:14 a.m.;ABONADO0027;4000000127;10/09/2026 10:11:14 a.m.;;OPERADOR0027;SIN NOVEDAD FICTICIA;;;;08/09/2026 09:13:33 a.m.;DATO26-0027;PEND;SIN NOVEDAD FICTICIA;DATO29-0027;9;SIN NOVEDAD FICTICIA;;ABONADO0027;CALLE FICTICIA 0027 RESIDENCIA DEMO;;DATO36-0027;DATO37-0027;DATO38-0027;DATO39-0027;9;9;9;DATO43-0027;DATO44-0027;999;DATO46-0027;DATO47-0027;9;DATO49-0027;DATO50-0027;DATO51-0027;DATO52-0027;OPERADOR0027;08/09/2026 04:57:52 p.m.;9;;;;;DATO60-0027;CANTV EMPRESAS;NRES;;;;;;;;;;;;;;;;;;
